rep_seq	S1	S2	S3
S1_CAIHDJAA_00128	99.1225	NA	NA
S1_CAIHDJAA_00129	81.0205	NA	NA
S1_CAIHDJAA_00130	75.377	NA	NA
S1_CAIHDJAA_00131	84.435	NA	NA
S1_CAIHDJAA_00132	95.5652	NA	NA
S1_CAIHDJAA_00133	87.4396	NA	NA
S1_CAIHDJAA_00134	94.3106	NA	NA
S1_CAIHDJAA_00135	88.0901	NA	NA
S1_CAIHDJAA_00136	89.2111	NA	NA
S1_CAIHDJAA_00137	82.6628	NA	NA
S1_CAIHDJAA_00138	94.4312	NA	NA
S1_CAIHDJAA_00139	83.9184	NA	NA
S1_CAIHDJAA_00140	87.183	NA	NA
S1_CAIHDJAA_00141	89.8333	NA	NA
S1_CAIHDJAA_00142	93.8345	NA	NA
S1_CAIHDJAA_00143	94.9755	NA	NA
S1_CAIHDJAA_00144	1.8548	NA	NA
S1_CAIHDJAA_00145	88.7637	NA	NA
S1_CAIHDJAA_00146	94.6057	NA	NA
S1_CAIHDJAA_00147	99.0418	NA	NA
S1_CAIHDJAA_00148	112.7585	NA	NA
S1_CAIHDJAA_00149	94.873	NA	NA
S1_CAIHDJAA_00150	92.1362	NA	NA
S1_CAIHDJAA_00151	86.6049	NA	NA
S1_CAIHDJAA_00152	93.1879	NA	NA
S1_CAIHDJAA_00153	93.8734	NA	NA
S1_CAIHDJAA_00154	90.0086	NA	NA
S1_CAIHDJAA_00155	83.3778	NA	NA
S1_CAIHDJAA_00156	3.2132	NA	NA
S1_CAIHDJAA_00157	6.8488	NA	NA
S1_CAIHDJAA_00158	5.9373	NA	NA
S1_CAIHDJAA_00159	6.2917	NA	NA
S1_CAIHDJAA_00160	389.0779	NA	NA
S1_CAIHDJAA_00161	5.694	NA	NA
S1_CAIHDJAA_00162	98.2961	NA	NA
S1_CAIHDJAA_00163	93.4098	NA	NA
S1_CAIHDJAA_00164	93.9813	NA	NA
S1_CAIHDJAA_00165	74.6699	NA	NA
S1_CAIHDJAA_00166	97.8425	NA	NA
S1_CAIHDJAA_00167	95.2701	NA	NA
S1_CAIHDJAA_00168	96.5661	NA	NA
S1_CAIHDJAA_00169	92.206	NA	NA
S1_CAIHDJAA_00170	89.645	NA	NA
S1_CAIHDJAA_00171	78.8511	NA	NA
S1_CAIHDJAA_00172	94.701	NA	NA
S1_CAIHDJAA_00173	82.8232	NA	NA
S1_CAIHDJAA_00174	4.2552	NA	NA
S1_CAIHDJAA_00175	89.0072	NA	NA
S1_CAIHDJAA_00176	68.6437	NA	NA
S1_CAIHDJAA_00177	84.0097	NA	NA
